contract_id,n_snapshots,mean_consecutive_diff,max_consecutive_diff,std_consecutive_diff
100054,31,0.3047748395771258,1.4344302152722637,0.37462177321944773
100055,43,0.3407404174012536,1.4318498023483506,0.365420395072188
100056,30,0.29413640030470917,1.4580245568613968,0.3386118206509887
100057,7,0.613193282108063,1.3422701297783632,0.49252778330995545
100058,29,0.29351599961470753,1.4231986266983874,0.40164216356829163
100059,52,0.3579983261051647,1.4157948212691702,0.38842725374402437
100060,67,0.36853104023447514,1.8184904152390091,0.3925296190903245
100061,43,0.2629213846559823,1.3934508097220306,0.28419042219911717
100062,7,0.8413594207145975,1.6053000725896212,0.4863435373624713
100063,43,0.31279224973307235,1.3845885034558816,0.3750773998896611
100064,6,0.5547753497116776,1.2915858945002356,0.3817357377798907
100065,66,0.2892767571396312,1.430090074885758,0.32467982660775346
100066,52,0.37351459254656694,1.839832119386159,0.4521322467653472
100067,60,0.35133132901477493,1.4629322874330113,0.33385003552050097
100068,51,0.33543143224816213,1.4449169080743984,0.3324572538470841
100069,45,0.2692321812928458,1.3991708289937075,0.2752663319259685
100070,9,0.7717833334450673,1.440390118391656,0.3851811931405067
100071,45,0.3580258850456988,1.4083518484561137,0.3556815492452274
100072,43,0.27861235214053287,1.3979769595552987,0.28332755092961853
100073,42,0.33702843596358234,1.4732831668061812,0.3614727848965236
100074,7,0.6443549924143922,1.2587470120311484,0.432666700535369
100075,5,0.8467723776120699,1.292803928944338,0.45216428014021937
100076,44,0.38454147548538836,1.983626523287409,0.5029030883986148
100077,66,0.30160037002316065,1.4415063766662572,0.26829616247856036
100078,57,0.3222259811363967,1.4224584925256283,0.3360431491810024
100079,70,0.3424976636853216,1.518077700097445,0.32193979667119466
100080,15,0.3185688818427046,1.3580290775860306,0.3891756164450964
100081,37,0.40754057264624405,1.4337355711614541,0.3715994756237151
100082,32,0.29979493851476763,1.389231198087257,0.3020866692292791
100083,56,0.3202046123342287,1.4327051511683748,0.34286703820786013
100084,68,0.3658535905926087,1.5586960025231245,0.3941129441036398
100085,42,0.3096346913585287,1.4192444078625368,0.38071733359519305
100086,62,0.3113267138650725,1.4795554366400918,0.32452000868673664
100087,7,0.8825341072294602,1.7321917708087722,0.5368563660810792
100088,40,0.46422137752091513,1.89556224930703,0.49399563567576904
100089,69,0.3948042212022637,1.4765223983178744,0.37973164826700834
100090,21,0.36060531131403006,1.4250734702635819,0.37046880406458127
100091,76,0.3127253075110254,1.5433312156255727,0.3180714996163496
100092,61,0.3444828998755752,1.4032879618115752,0.37297812288341287
100093,48,0.31619302206636757,1.419371884827744,0.3543237490771904
100094,71,0.3321631424150129,1.5265558435175617,0.36278359743059096
100095,34,0.49043753218174035,1.705185829056725,0.46065100023980005
100096,83,0.30812464942562096,1.5711333918579018,0.3154072226777613
100097,35,0.3646051323529043,1.4581751802389484,0.401217704112698
100098,51,0.3466795216987672,1.531960299908529,0.3582998563284303
100099,12,0.29823142040527845,1.4606717692594844,0.38857714742386046
100100,54,0.3522656172941262,1.453275529203668,0.37748288056695634
100101,44,0.34991710798877856,1.4471943133840697,0.35672691712062854
100102,67,0.2561372740109205,1.4288477645813562,0.24733839182801048
100103,45,0.33524109706931093,1.4031567626982215,0.3589204085889765
100104,9,0.5215982663137715,1.3514105543466777,0.4512360878975785
100105,53,0.30966900063228464,1.4027651890588615,0.33794463847248857
100106,36,0.315830548931315,1.389742318260555,0.3019792601117521
100107,57,0.31625301782601856,1.4284271052077961,0.3293868662331076
100108,53,0.3775583951915134,1.4150374699025159,0.39848803156139256
100109,52,0.37350561546575173,1.3997959075250004,0.357041985223962
100110,51,0.4593036238122196,1.6995612267217615,0.4364648824199213
100111,84,0.3403116584522864,1.5963607475250223,0.3520597308863892
100112,37,0.3355437633574854,1.524874760033448,0.3151360021159617
100113,50,0.3173781280959728,1.401363932682223,0.33992307487935153
100114,59,0.3402149983977272,1.4617638262708874,0.3377484312613961
100115,15,0.3816170093704799,1.2550439375890325,0.33679690388645706
100116,80,0.2987550101512322,1.5168709335078692,0.31175995496725506
100117,10,0.4872163749906725,1.373188806146484,0.46429553517796573
100118,10,0.6097488862110718,1.3775294650121634,0.4249701359651122
100119,57,0.33331436077118454,1.530947268504326,0.34123447286400793
100120,33,0.3061033860270489,1.6685720296491828,0.3930563626622479
100121,73,0.3269507296717437,1.5053546871853354,0.3490029784870575
100122,26,0.2937263144953252,1.4378239536165895,0.35965747838556067
100123,19,0.41903152764526497,1.9180355908284046,0.5851635122689969
100124,84,0.3495029733047312,1.9162616070047673,0.4039279396086287
100125,58,0.36644280433041243,1.5509204143386743,0.3428475649950168
100126,46,0.33935141253241935,1.4015072387123084,0.35090627508760847
100127,11,0.49858895220507404,1.329174442302901,0.41155639907442876
100128,24,0.3487147900778294,1.4224489104203417,0.35896911647660545
100129,55,0.345363793982469,1.4589665120834003,0.3373387921734765
100130,51,0.3752823375768143,1.3784046964883865,0.4000758064136931
100131,70,0.3385318940120831,1.4356978848479909,0.314787874644754
100132,41,0.3931666599947442,1.8523222939361705,0.4384915565372477
100133,8,0.7724596047293305,1.497565390430085,0.47713436551659033
100134,53,0.31828850817897847,1.5434773803144717,0.34686143845860845
100135,8,0.5731092824628236,1.3054161797893047,0.4609441542540998
100136,70,0.37507637532582794,1.5922736362056766,0.3335591947774835
100137,43,0.3406941408976671,1.3989578751981937,0.36062125256671085
100138,35,0.2900493156722176,1.4453105661884915,0.32644171197825234
100139,67,0.25668551438272963,1.4103439335830323,0.23667736298849107
100140,41,0.368775921755479,1.3906632631342066,0.3558394182577099
100141,11,0.4976722788914662,1.25390867817868,0.38500157055958945
100142,7,0.7916218060727646,1.5064801609126612,0.4603652156725334
